HEB Way Factor,HEB Way Competency,WGO Pillar,WGO Focus Area,Partner SORM Readiness Abilities ,All,Grocery,GM/Drug,Beauty,Healthy Living,Beer and Wine,TXBY,Mia's,Optical,Cooking Conn.,Showtime,Market,Seafood,Bakery,Produce,Floral,Deli,Restaurant,CCO,Curbside,MIC,Shelf Edge,Rate the Partner's  level of Effectiveness in the Readiness Ability
Head for Business,Expertise and Technical Knowledge,A+ Results,"Facility, Equip., Tools",Explain how to use the Verisae system to log store maintenance and repair needs. ,,,,,,,,,,,,,,,,,,,,,x,,
Passion for Results,Drive for Results,A+ Results,Hospitality,Demonstrate your approach to active selling as well as the factors to success.,,,,x,x,x,x,x,x,x,x,,,,,x,,,,,,,
Heart for People,Communicate and Influence,A+ Results,Hospitality,Demonstrate the 9 steps to Gold Star Selling.   Describe how you will teach and sustain the program.,,,,,,,,x,,,,,,,,,,,,,,,
Heart for People,Communicate and Influence,A+ Results,Hospitality,"Explain the importance of the 1-2-3s (SAFD) or the Engagement Zone (HFD), including what it means for hospitality.                        Demonstrate the ability to coach others on these programs.",,,,,,,,,,,,,,,,,,,x,,,,
Head for Business,Expertise and Technical Knowledge,A+ Results,"In-Stocks, E&E","Explain the inventory management process for your department. (product and/or wrap, supplies).                                                            Describe how management of these lines impacts your department's contribution.",x,,,,,,,,,,,,,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Results,"In-Stocks, Signage","Explain SRS and its use for managing inventory, setting PSAs, and reaching 100% in-stocks, as well as the importance of in-stocks to the business needs.   ",,x,x,x,x,x,x, ,,x,x,x,x,x,x,x,x,x,,,x,x,
Head for Business,Expertise and Technical Knowledge,A+ Results,Law,Explain the TABC laws around alcohol and describe how they apply to your department. ,,x,,,,x,,x,,x,x,,,,,,,x,x,x,x,,
Head for Business,Expertise and Technical Knowledge,A+ Results,Merchandising,Demonstrate how to effectively use the S.E. Planograms and Floorplans application. ,, , , ,,,,,,,,,,,,,,,,,,x,
Head for Business,Strategic Planning,A+ Results,"Merchandising, Planning",Access the Seasonal Sell-Through Report and demonstrate how to use it when making data-based decisions. ,,,x,x,,,,x,,,,,,,,,,,,,,,
Head for Business,Strategic Planning,A+ Results,"Merchandsing, Planning",Explain what is driving the business in your department this season and why. ,,x,x,x,,x,,x,,x,x,x,x,x,x,,x,,,,,,
Head for Business,Strategic Planning,A+ Results,"Merchandising, Planning",Describe and demonstrate the Mia's display refocus process.  ,,,,,,,,x,,,,,,,,,,,,,,,
Head for Business,Strategic Planning,A+ Results,"Merchandising, Planning",Explain the role of the wine planner and DI sales in driving profitablity in the B&W department. ,,,,,,x,,,,,,,,,,,,,,,,,
Head for Business,Strategic Planning,A+ Results,Planning,"Describe what effective planning looks like for your department, including the tools available for planning.",x,,,,,,,,,,,,,,,,,,,,,,
Passion for Results,Drive for Results,A+ Results,Planning,"Take ownership of an area of the business and explain the work, your role, the impact, and the outcome. ",x,,,,,,,,,,,,,,,,,,,,,,
Head for Business,Strategic Planning,A+ Results,Planning,"Explain the production planner process, as well as the impact it has on your department. ",,,,,,,,,,,,x,x,x,x,x,x,x,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Results,Planning,"Demonstrate the ability to place an accurate order in OLO, and explain your process in making ordering decisions. ",,,,,,,,,,,,x,x,x,x,x,x,x,,,,,
Head for Business,Strategic Planning,A+ Results,Planning,Explain EOM and its importantance to the department's merchandising and financial success. ,,x,x,x,x,,x,,,x,x,x,x,x,x,x,x,,,,x,,
Head for Business,Expertise and Technical Knowledge,A+ Results,Planning,Explain and demonstrate how to accurately complete the contribution tracker. ,,,,,,,,,,,,,,,x,x,,,,,,,
Heart for People,Service Mentality,A+ Standards,Hospitality,Describe and demonstrate how you effectively provide hospitality to each and every person.,x,,,,,,,,,,,,,,,,,,,,,,
Heart for People,Service Mentality,A+ Standards,Hospitality,"Demonstrate what hospitality should look like in your department, and how you can improve it.                                           If applicable, explain your department's hospitality scoring system.",x,,,,,,,x,,,,,,,,,,,,,,,
Heart for People,Service Mentality,A+ Standards,Hospitality,"Explain and demonstrate the 3 E's, including how it ensures every Customer has a great Mia's experience.",,,,,,,,x,,,,,,,,,,,,,,,
Heart for People,Service Mentality,A+ Standards,Hospitality,"Explain how product knowledge affects the Customer Experience, including the areas and/or items in your department where product knowledge is crucial.                                                      Demonstrate key product knowledge in your department.",x,,,,,,,,,,,,,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Standards,Quality,Explain and demonstrate your role in maintaining product quality in your department. ,x,,,,,,,,,,,,,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Standards,In-Stocks,"Explain the ordering process for bulk and DSD product, as well as best practices for managing inventory.",,,,,X,,,,,,,,,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Standards,Quality,Explain the process for creating a recipe and ordering recipe card stock. ,,,,,,,,,,x,,,,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Standards,Quality,Explain C.O.O.L. labeling requirements and how they apply to your department.,,,,,,,,,,,,x,x,,x,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Standards,Quality,Explain the significance of purge (drip-loss) and demonstrate our process to mitigate it. ,,,,,,,,,,,,,x,,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Standards,Quality,"Explain and demonstrate the record keeping processes for your department, their importance in customer safety, and how they relate to The Bold Promise. ",,x,,,,x,,,,x,x,x,x,x,x,,x,x,,x,x,x,
Head for Business,Expertise and Technical Knowledge,A+ Standards,Quality,"Demonstrate product knowledge and experience in the following areas: cake decorating, baking, and overnight frying. (scratch-baking and tortilleria where applicable) 
[2 weeks experience in each area preferred]                                       Describe how you coach these skills to other Partners.",,,,,,,,,,,,,,x,,,,,,,,,
Head for Business,Expertise and Technical Knowledge,A+ Results ,"Quality - is this correct and not Facility, Equipment and Tools?","Demonstrate your ability to use the ePlum system: (Check scales, batch transmission, change a price). ",,,,,,,,,,,,,,,,,,,,,,x,
Passion for Results,Drive for Results,A+ Standards,Quality/Sanitation,Explain your impact on Food Safety and/or Sanitation in your department.                                                                                                 Demonstrate Food Safety and/or Sanitation standards in your department.,x,,,,,,,,,,,,,,,,,,,,,,
Passion for Results,Drive for Results,A+ Standards,Sanitation,"Explain the sanitation SOPs for Healthy Living bulk bins, how to store bulk backstock, as well as demonstrate your role in this process. ",,,,,x,,,,,,,,,,,,,,,,,,
Passion for Results,Drive for Results,A+ Standards,Sanitation,Explain and demonstrate the Sanitation and Rotation process for Dry Grocery and GM.,,x,x,,,,,,,,,,,,,,,,,,,x,
